rid,stars,date,text
1723553,5,2012-05-17,"We hosted the rehearsal dinner for our son and daughter in law on June 25th. It was a great success. 
The communication with the owners was very cordial and accomodating. 
We hosted 50 guests which was a perfect number for the venue. We started with wine and beer in the patio with a lovely variety of appetizers. It was great to be outdoors and able to mingle. 
Then we went inside to dine on a delicious salad, the Elvis salad, a favorite of the bride's. Each guest had preselected from 4 choices: steak, mahi mahi, chicken piccata or ravioli rosa (vegetarian). 
After the entree the guests moved back out to the patio for some fun and singing. 
Guests returned to a new seat and place setting. Each table received a variety of desserts to sample and share. 
Everyone enjoyed their dinner and the staff was delightful. 
We live in San Francisco so all planning had to be done via email. Every request was honored, even addressing guests' food alergies. 
Thanks to Aldo's for creating a wonderful event for us. Five stars!"
1735547,5,2012-11-29,"We had gone there for dinner.. I would recommend those  to whoever visits Santa Barbara.. Loved the food, great taste and very good service.. Will surely be going again...."
1741524,4,2013-06-23,The food here was good and arrived on time even though the restaurant was very busy.  We sat in the courtyard under the string of tiny lights.  Our waiter was attentive and was able to answer any questions we had about the menu.  We would definitely return here.
1742247,3,2012-02-25,"Food is great at first, but later will become too greasy and salty. They charge mandatory service fee at 18%. The server also did not tell us the soup for side dish has different price mark when he recommended them."
1747045,5,2013-10-03,Honest to god had the best fettuccine Alfredo!  Also their chocolate raspberry brownie dessert is to die for!!!!!
1758151,4,2013-12-02,"We opted to take a look at the Aldo's menu this past Saturday while waiting for a friend to meet us on State Street for lunch.I thought, well,  ""Smells yummy and I'm a sucker for a place with paninis...""

Thus, lunch decisions were made!! It has a cute little outdoor patio that seemed to be filling up around the 1 o'clock hour, so we opted for an indoor table, which was just as nice, being they had an open bright window seat available. There seemed to be two servers on duty-one servicing the patio and another lady who waited on the inside tables. Although it took a little while to place our orders, we could clearly see she was hustling and balancing her tables in a pleasant and efficient manner. Our server was very sweet and made lunch recommendations based on how hungry/not hungry we were.

I opted for the Caprese panini with a side salad and the quality of the cheese, basil and tomato were definitely above average considering the reasonable lunch price. The side salad had a house made dressing-some type of vinigrette which was the perfect blend of spices and a little bit of a sweetness to it. Fresh greens and carrots perfected the side dish and the focacia bread my sandwich was made on, was just the right amount of soft yet a little bit crispy on the outside. Very good quality all around. My boyfriend got the caprese but added chicken on it and opted for the fries. They piled the fries up high and they were seasoned with a bit of garlic, salt and some oregano or parsley (not sure which) but I had to partake in a few of those-they were seriously addicting and some of the best fries I've had in a while (not that one seeks out quality french fries in an Italian joint, but hey, they did them right!)

Plentiful refills on our drinks and they brought out some bread prior to the meal, which was okay-nothing stood out, but their olive oil dipping sauce was pretty amazing-I ended up dipping some of my sandwhich in to it-mmmm....

All in all, not a bad lunch option on State Street-clean space, fresh ingredients and friendly service. Minus one star, though, for having to walk in to the kitchen to use the restrooms-it detracted a bit from the experience. I always find that type of set up strange, especially in an establishment that charges a bit more for their food..."
1772026,1,2013-01-20,The service was extremely poor.  The waiter spent his time chatting to a british couple apparently amazed by their accent while we sat there being ignored. My food was cold and they didn't notice my glass was empty the entire dinner. Seriously move on to something better. This is a trap that has good styling on the outside but very poor food and worse service.
1775926,4,2013-08-12,"I came to Santa Barbara for a fun day with my boy Julius. I heard that Aldo's gives you a discount if you show that you took the train. I made reservations a day before our trip. They were kind and friendly. We got there, and it is a small place, which is OK. It has a nice patio and a very nice indoor area. I wish we could've gone later to see it at night, but we had to have dinner early because we had to take the train. One thing I didn't like was the location of the restrooms; it is by the waiter's station, almost in the kitchen. In the restroom there is not a big mirror, only two little ones. If you are a girl, you kind of want to be able to look at yourself in the mirror and retouch your makeup or fix your hair.

The food was OK. We had a linguine Bolognese. I had to order a simple food because I was sharing with my toddler. The funny part is that my boy was so hungry, that when the waitress comes, he says ""Fries!!!"" and so he had them, lots of them. Our waitress was nice and polite. The only thing is that I ordered a glass of wine and never got it. But it's ok, because I should not be drinking while I'm in mommy duty.

If I come back to Santa Barbara, I'll go to Aldo's again, just with company, so mommy can have a glass of vine and more food...yummy."
1784919,4,2012-08-12,Stopped there for a late night bite. What a find. Scrumptious veggie pizza and crab cakes on the side. Service was exemplary. I would ask for a booth next time though. Romantic spot.
1790017,4,2012-09-08,"Had dinner here tonight, prices were high but our food was absolutely delicious!! We will definitely go back!"
1794714,4,2012-02-25,"Service:
-Really good, although immediate refills would have been appreciated

Ambiance:
-Really cute and romantic. Went for dinner and sat out on the patio--yay heaters! Music was also nice.

Food:
-We got the Parmesan fries, which were unfreaking believable (would go back just for those), the meatball linguini, which was decent, and the bbq chicken pizza (which I thought was a little bland, while my partner didn't but he agreed it was missing something).

Price was about what you'd expect from this sort of place.

Overall:
Would definitely consider going back!"
1796872,4,2013-02-20,"I think my husband and I went on two different datenights here last month! Great, cozy ambience with indoor and outdoor seating. May not have tried this without the Axcess deal, but I'm glad that we did. I understand they are under new management and they probably still have a few kinks to work out, but it was a decent dining experience both times with tasty, rich food and plenty of fresh bread. The hostess Sophie is the best!"
1818400,4,2012-01-31,"I have been to this place a bunch of different times and it has always been constantly pretty good.  The service has always been good and it's always been very clean and the wait staff attentive.
       It's not going to blow you away but when you want to come to a place that's quiet and the service is good and you know you're going to be seated that day (leaving out the name of another spot here....) check this place out for sure."
1851947,3,2013-08-02,"Stars are given for the ambience, our waitress and a fabulous Pino Noir. Stars taken away for the food.  The Marg. pizza was very disappointing. Too much cheese - and random pieces of yellow zucchini planted into about an inch of thick cheese  (am guessing the chef is not Italian?).  Salad was soggy and then discovered they had cut my bloody pasta up into small pieces and drowned it in sauce.  I am 42 years old people, not 5. I know how to twirl my pasta around a spoon.   Needs more flavor and less sauce. 
I will return to this place later on to see if things have changed."
1875951,3,2012-10-28,"My husband and I were only in Santa Barbara for one night and decided to stop here to eat after wandering up and down State Street. It was a warm night so we sat out on the patio with the few other patrons that were there. No one was eating inside where it was ""air conditioned"". Probably because it was actually warmer inside than out.  
My husband ordered that day's special of the surf-n-turf. Stupid name for a meal but was pretty good with a very large portion of steak. I ordered the Japanese pumpkin ravioli with shrimp. Again, a large portion, and I thought quite good. 
The service was prompt and attentive and the atmosphere was nice since we were sitting right beside the fountain. The only disappointments were the so-so bread and lack-luster and completely mediocre tiramisu. I really wish Italian restaurants would start trying harder on their classic desserts. 
But overall it was pleasant for us."
1877276,5,2013-08-02,Love this place! The ciopinno is the best!
1888404,3,2012-10-29,"Service was top notch, and the hostess was very sweet to us.  For an expensive Italian restaurant I would say our main courses were just average but not necessarily worth the money.  I can confirm the bread was some kind of joke, tasted like day old super market bread.  Probably wont be back for a long time."
2039069,1,2012-07-24,"Worst experience EVER! We were too tired to go drive anywhere so we decided to just check this place out. 

We got seated immediately and that made me happy. However It took our server about 15-20 mintues to just greet us and take our orders. We got water and bread from the busser/bus boy. Once we order we noticed there were 3 empty tables. So we're eating our bread and the tables slowly starts to fill up. The tables are quite close together, so I coudn't help but notice how we got our soup the same time the table next to us did. 

Worst of all is when the server dropped off the soup. So the tables are really close, she decides to place herself in the middle of the two tables, stretch her arm out, and she facing the wall while she's doing this and she lowers her arms to put the soup bowl down without trying to see if it would spill or not. Why did she do that? Why can't she face one table, put the soup down and turn around face the other table and put the soup down? I just don't freaking get it..Anyhow luckily the bf grabbed the bowl from her before she completely let go because she placed it on his silverware. The soup was about to topple over. 

So beside the fact that she didn't think correctly why is our soup 25 mintues later? So as we sat the two other tables have already received their entrees..Um wth? We were here first. This is a total about maybe 35-40 mintues later, the waitress comes by and stated that the Chef didn't like how my salmon was cooked so he had to recook it. WTH? 

I was thinking off the bat ""Alright if he's actually doing that I better get a salmon that is not overcooked, because I'm going to throw some elbows"". Okay not literally, but you know what I mean..

Anyhow of course when I received the fish it was super over cooked. I thought it was me just upset since we waited an hour for our food. The bf tasted it and we cut the fish apart to see how it was cooked, it was SUPER OVERCOOKED! How can you do that after making me wait for 1 hour? 

I super upset, the waitress didn't offer to help me out too much, I just told her that this wait is unacceptable and she just said ok. She didn't apologize. Another person came along, I'm not sure who she is but I saw her servering other table but she apologized and asked if I wanted another dish, she even offered me dessert. They took the fish out of the bill. I did not eat it after my one bite, I was super upset about the service. 

So Never AGAIN! How do they even get four stars?"
